"店铺","账号","视频标题","视频链接","发布时间","时长秒","播放量","点赞数","评论数","分享数","收藏数","互动率"
"ETCYY-US","etcyy_chic7","best mall find today#sweater #blouse #tiktokshopbacktoschool #fyp","https://www.tiktok.com/@MS4wLjABAAAAOZlo8VLhFzwQxaJz__FbmqrJNInlS5egBBy6-UlIZAlLyOJpocLBFn8VCUkjTHxW/video/7681613275187924238","2026-09-04T17:44:14+08:00","10","38","0","0","0","0","0"
"ETCYY-US","etcyyus","zero regrets adding this gem to my closet ☕️✨#shirts #cowboy #ootd #t...","https://www.tiktok.com/@MS4wLjABAAAAyS0K7XiI6U2qU30yfAAxxzCeJhmkiy9nNrpamMAoKTZA6z_yoqAbUo4uI9Zh9AzN/video/7677899575457303838","2026-08-25T17:32:47+08:00","14","38","0","0","0","0","0"
"ETCYY-US","etcyywears","#StripedLayeredBlouse #WomensKnitShirt #SmartCasualOutfit #NavyWorkT","https://www.tiktok.com/@MS4wLjABAAAAZ79LMZFS-icRZjdE7C2BragqlZXfRKdeJ1H08NhO17EzAka-g_0oBEmtg9Z4nERS/video/7680130349413829918","2026-08-31T20:19:00+08:00","15","38","0","0","0","0","0"
"ETCYY","user5835336672755","TikTok video #7682452119273737485","https://www.tiktok.com/@MS4wLjABAAAAXuF2pGCa0ER5WqwZ1KB7GyADFtjtVr9dtL17wpZoSSxGlvXHRWZUSuik1Cxyd9WD/video/7682452119273737485","2026-09-07T01:27:00+08:00","15","38","0","0","0","0","0"
"ETCYY-US","etcyy.glam","#sohochic#tiktok#tiktokshop#ootd","https://www.tiktok.com/@MS4wLjABAAAAI95MRpE0J2k31jCljJSn-F0-knBxN1H-2B629ifUTuROBthPTMhoEBgJdtPsHfIL/video/7681237923370503454","2026-09-03T21:08:00+08:00","15","37","0","0","0","0","0"
"ETCYY-US","etcyy.glam","#ootd#ButtonDetailBlouse #WomensFashionBlouse#UniqueDesignShirt","https://www.tiktok.com/@MS4wLjABAAAAI95MRpE0J2k31jCljJSn-F0-knBxN1H-2B629ifUTuROBthPTMhoEBgJdtPsHfIL/video/7678647835809647903","2026-08-27T17:56:23+08:00","15","37","0","0","0","0","0"
"ETCYY-US","etcyy.glam","#ootd#ButtonDetailBlouse #WomensFashionBlouse#UniqueDesignShirt","https://www.tiktok.com/@MS4wLjABAAAAI95MRpE0J2k31jCljJSn-F0-knBxN1H-2B629ifUTuROBthPTMhoEBgJdtPsHfIL/video/7679390135858793759","2026-08-29T19:31:00+08:00","15","36","0","0","0","0","0"
"ETCYY-US","etcyy.mode","#TwoInOneSweaterShirt #WomensOfficeWear #TrendyLayeredTop #StripedKni...","https://www.tiktok.com/@MS4wLjABAAAAAzWwlO1snm3knv0nLXURI_21KQG9TG5Rl0IsUoNTIiH1nJlP5ORdCNRtOnNp_FBF/video/7680126259531156749","2026-08-31T19:03:00+08:00","15","36","1","0","0","0","0.027777777777777776"
"ETCYY-US","etcyycloset","#ootd #tiktokshop #womensfashion #summeroutfit","https://www.tiktok.com/@MS4wLjABAAAAaCwGq_3D-9xVRayIp3icS8N58NePtV5mre_jyDhWQjswQeXIrKxf3p1Wm-uUCb7V/video/7681615219705105677","2026-09-04T20:20:00+08:00","15","36","0","0","0","0","0"
"ETCYY-US","etcyycloset","#RelaxedFitBlouse#BlueWhiteStripeTop#ChicOfficeBlouse #LayeredFashionTop","https://www.tiktok.com/@MS4wLjABAAAAaCwGq_3D-9xVRayIp3icS8N58NePtV5mre_jyDhWQjswQeXIrKxf3p1Wm-uUCb7V/video/7680122493524315406","2026-08-31T19:48:00+08:00","15","36","0","0","0","0","0"
